NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
RIDGEFIELD NATIONAL WILDLIFE REFUGE  ,63.73428,113.3334,10.49946,23.34432,13.58984,28.69341,-1.492799833,-0.666562988,11.86065
ROANOKE RIVER NATIONAL WILDLIFE REFUGE  ,46.93572,82.37357,39.44522,17.93649,39.4783,39.57188,-0.135303547,-0.426540037,10.80663
ROCK LAKE NATIONAL WILDLIFE REFUGE  ,114.2144,142.6647,3.592615,16.38893,7.631277,13.88781,-0.686549027,-0.499376597,9.075784
ROCKY FLATS NATIONAL WILDLIFE REFUGE  ,117.2528,154.3262,4.170267,5.857987,5.246794,7.397331,-0.731344297,-0.598384819,9.037261
ROCKY MOUNTAIN ARSENAL NATIONAL WILDLIFE REFUGE  ,100.0853,139.2557,1.407279,5.823188,0.8664788,7.533045,-1.113706185,-0.575257035,8.713816
RUBY LAKE NATIONAL WILDLIFE REFUGE  ,104.787,143.5395,12.83648,37.2624,21.86221,40.37899,-0.710003406,-0.100132878,10.02687
RYDELL NATIONAL WILDLIFE REFUGE  ,111.2854,139.3382,1.083654,14.10046,0.2339455,17.63182,-0.737397084,-0.531789888,9.671697
SABINE NATIONAL WILDLIFE REFUGE  ,22.53091,46.08657,32.25308,48.74669,30.72937,20.20044,-0.152656962,-0.000873105,4.840323
SACHUEST POINT NATIONAL WILDLIFE REFUGE  ,96.79215,128.4569,3.996275,1.083654,8.633469,0.2339455,-0.836737803,-0.807558768,7.70703
SACRAMENTO NATIONAL WILDLIFE REFUGE  ,41.93688,85.81819,1.083654,19.00639,0.2339455,19.7216,-1.308215476,-0.90772576,6.59457
SACRAMENTO RIVER NATIONAL WILDLIFE REFUGE  ,47.27397,92.60092,1.083654,20.01207,0.2339455,21.66335,-1.401176566,-0.77546334,7.658153
SADDLE MOUNTAIN NATIONAL WILDLIFE REFUGE  ,78.27832,115.0385,16.62619,31.36123,18.44799,35.02164,-0.76878179,-0.247015692,8.430396
SALINAS RIVER NATIONAL WILDLIFE REFUGE  ,30.06502,63.21316,1.083654,16.05897,0.2339455,11.95461,-0.578353861,-0.836115446,3.215816
SALT PLAINS NATIONAL WILDLIFE REFUGE  ,58.98905,90.95018,18.5037,3.234192,33.74664,6.556008,-0.607125954,-0.83678024,10.02679
SAM D. HAMILTON NOXUBEE NATIONAL WILDLIFE REFUGE  ,39.53407,70.99834,63.01657,38.62826,11.83764,22.27161,0.288858835,-0.147871365,8.931572
SAN ANDRES NATIONAL WILDLIFE REFUGE  ,40.79519,76.06981,4.721506,4.799488,9.604343,8.633469,-0.812056175,-1.151477694,6.389682
SAN BERNARD NATIONAL WILDLIFE REFUGE  ,21.71127,43.49921,29.52694,41.72707,41.35251,22.11087,-0.149297229,-0.12150411,4.94657
SAN BERNARDINO NATIONAL WILDLIFE REFUGE  ,35.77516,71.79709,5.524719,5.201095,9.604343,8.633469,-0.768511255,-1.100453529,4.618052
SAN DIEGO BAY NATIONAL WILDLIFE REFUGE  ,21.60551,42.67708,1.083654,1.442077,0.2339455,1.179664,-0.531460524,-0.886421887,3.080732
SAN DIEGO NATIONAL WILDLIFE REFUGE  ,23.89255,47.19721,1.083654,2.167308,0.2339455,0.467891,-0.489971233,-0.845998385,3.499935
SAN JOAQUIN RIVER NATIONAL WILDLIFE REFUGE  ,32.55787,66.99496,2.054528,16.74102,2.808226,12.92549,-0.678333706,-0.780327784,3.257586
SAN JUAN ISLANDS NATIONAL WILDLIFE REFUGE  ,52.33604,113.2383,2.884154,17.37989,2.359328,15.35173,-2.584014831,-1.33956751,12.03821
SAN LUIS NATIONAL WILDLIFE REFUGE  ,33.07141,68.73851,2.054528,16.09377,2.808226,11.99637,-0.746302947,-0.807474557,3.794096
SAN PABLO BAY NATIONAL WILDLIFE REFUGE  ,31.38637,64.57319,1.407279,15.41173,0.8664788,10.9211,-0.684599052,-0.824738425,2.850616
SAND LAKE NATIONAL WILDLIFE REFUGE  ,105.7396,133.4077,2.84097,11.16142,4.171525,14.60486,-0.654517848,-0.516902662,9.38505
SANDY POINT NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
SANTA ANA NATIONAL WILDLIFE REFUGE  ,17.33084,35.45121,7.579247,15.40082,12.41257,25.03393,-0.399537769,-0.374159361,4.058187
SANTEE NATIONAL WILDLIFE REFUGE  ,36.90845,66.67282,67.10886,48.19575,17.66288,45.33864,0.407308692,0.024938918,7.13056
SAUTA CAVE NATIONAL WILDLIFE REFUGE  ,47.19873,81.30028,43.78822,17.03316,38.30857,24.77483,-0.152657289,-0.46697598,10.76294
SAVANNAH NATIONAL WILDLIFE REFUGE  ,31.37331,59.42994,68.19251,61.72744,17.42894,27.80442,0.323988448,0.191316537,5.658064
SEAL BEACH NATIONAL WILDLIFE REFUGE  ,22.0217,43.02359,2.736575,1.442077,3.64955,1.179664,-0.48372789,-0.91849805,3.450952
SEAL ISLAND NATIONAL WILDLIFE REFUGE  ,110.1871,142.1334,1.407279,1.083654,0.8664788,0.2339455,-0.811296555,-0.59588495,7.361326
SEATUCK NATIONAL WILDLIFE REFUGE  ,82.89402,118.1821,5.753592,1.083654,9.474792,0.2339455,-1.139315605,-1.04354042,10.35394
SEEDSKADEE NATIONAL WILDLIFE REFUGE  ,117.6866,153.4785,21.92455,71.83464,35.78184,14.50965,-0.280418576,0.152857336,9.671986
SELAWIK NATIONAL WILDLIFE REFUGE  ,143.8651,168.7233,3.50499,1.407279,4.749974,0.8664788,-0.572337402,-0.887739559,5.626944
SENEY NATIONAL WILDLIFE REFUGE  ,116.6165,148.9503,1.083654,13.70724,0.2339455,15.48128,-0.904667493,-0.545962098,9.438899
SEQUOYAH NATIONAL WILDLIFE REFUGE  ,50.06308,81.901,27.52092,4.30946,27.8663,9.781814,-0.295807809,-0.795119812,9.31256
SEVILLETA NATIONAL WILDLIFE REFUGE  ,69.80787,106.9774,7.929285,2.054528,8.772956,2.808226,-1.027417525,-1.032373328,9.221285
SHAWANGUNK GRASSLANDS NATIONAL WILDLIFE REFUGE  ,96.73448,125.4228,5.245536,1.083654,8.4726,0.2339455,-0.863396561,-0.76775851,6.658211
SHELDON NATIONAL WILDLIFE REFUGE  ,101.6487,140.8179,41.4208,90.1158,74.35957,27.71084,-0.119591269,0.410071754,10.98149
SHELL KEYS NATIONAL WILDLIFE REFUGE  ,20.0677,42.13385,27.0319,53.31525,28.44928,16.87024,-0.179575662,0.016310433,4.722447
SHELL LAKE NATIONAL WILDLIFE REFUGE  ,111.7449,141.7226,4.30946,16.31095,9.781814,15.09263,-0.750317251,-0.446269896,8.713161
SHERBURNE NATIONAL WILDLIFE REFUGE  ,105.3933,133.3799,1.083654,3.951037,0.2339455,8.706546,-1.005309011,-0.702269215,8.950626
SHIAWASSEE NATIONAL WILDLIFE REFUGE  ,102.5205,131.7508,1.407279,1.083654,0.8664788,0.2339455,-1.101269394,-0.743533124,8.683019
SILETZ BAY NATIONAL WILDLIFE REFUGE  ,41.05208,89.20586,3.094998,16.58506,3.64955,17.27687,-1.389736838,-1.276501197,7.749463
SILVIO O. CONTE NATIONAL FISH AND WILDLIFE REFUGE  ,107.28,136.1117,1.083654,1.083654,0.2339455,0.2339455,-0.832104242,-0.669691481,7.170412
SLADE NATIONAL WILDLIFE REFUGE  ,108.9582,137.957,1.8005,16.86852,2.254933,12.10982,-0.729467696,-0.43183803,8.727046
SONNY BONO SALTON SEA NATIONAL WILDLIFE REFUGE  ,25.30656,48.65798,6.599988,4.221836,6.378536,2.599436,-0.391120932,-0.612569569,3.567674
SQUAW CREEK NATIONAL WILDLIFE REFUGE  ,81.92056,109.6655,10.66712,1.8005,15.99948,2.254933,-0.789594009,-0.913163507,7.727519
ST. CATHERINE CREEK NATIONAL WILDLIFE REFUGE  ,30.81296,58.58334,68.44323,64.2943,14.33344,16.18903,0.371825666,0.327479769,7.026276
ST. JOHNS NATIONAL WILDLIFE REFUGE  ,15.9349,32.3396,43.15112,40.37467,29.22017,27.17403,-0.015916641,-0.0604029,4.404664
ST. MARKS NATIONAL WILDLIFE REFUGE  ,24.86915,49.12642,61.45333,64.75079,15.4521,23.45304,0.134146096,0.202551158,5.082639
ST. VINCENT NATIONAL WILDLIFE REFUGE  ,18.83348,39.09661,22.57612,38.36635,24.44617,10.98588,-0.173915869,-0.141802858,4.689162
STEIGERWALD LAKE NATIONAL WILDLIFE REFUGE  ,67.2021,115.245,11.94153,27.15617,14.53556,32.34296,-1.28358555,-0.507631751,11.91075
STEWART B. MCKINNEY NATIONAL WILDLIFE REFUGE  ,94.71973,125.0811,3.996275,1.083654,8.633469,0.2339455,-0.816419508,-0.806568832,7.747681
STEWART LAKE NATIONAL WILDLIFE REFUGE  ,105.5389,138.0556,9.589795,21.37079,19.09574,13.36961,-0.843626555,-0.324541338,8.873268
STILLWATER NATIONAL WILDLIFE REFUGE  ,76.67799,115.5903,17.52113,19.09607,21.16037,27.21956,-0.744840267,-0.467602145,6.829584
STONE LAKES NATIONAL WILDLIFE REFUGE  ,32.80926,67.54259,2.378152,17.45787,3.7791,14.14691,-0.736631839,-0.8352765,3.548044
STORM LAKE NATIONAL WILDLIFE REFUGE  ,108.424,135.6169,1.442077,13.49639,1.179664,15.35173,-0.659661511,-0.504267372,8.724662
STUMP LAKE NATIONAL WILDLIFE REFUGE  ,111.8955,140.4286,1.083654,14.86049,0.2339455,17.50227,-0.721601611,-0.49928391,9.249997
SULLYS HILL NATIONAL GAME PRESERVE  ,112.3761,140.9179,2.158923,14.86049,3.330201,17.50227,-0.714239897,-0.492221799,9.177344
SUNBURST LAKE NATIONAL WILDLIFE REFUGE  ,106.2667,136.3056,2.158923,17.55057,3.330201,12.55344,-0.86254709,-0.402682247,8.182196
SUNKHAZE MEADOWS NATIONAL WILDLIFE REFUGE  ,114.178,144.2421,1.48526,1.8005,1.438765,2.254933,-0.753255943,-0.520983686,6.458176
SUPAWNA MEADOWS NATIONAL WILDLIFE REFUGE  ,78.75556,110.3963,8.666213,1.083654,18.21266,0.2339455,-0.747114715,-0.817146866,7.297477
SUSQUEHANNA NATIONAL WILDLIFE REFUGE  ,78.60977,109.924,8.018964,1.083654,16.27091,0.2339455,-0.694523319,-0.809639474,7.531852
SUTTER NATIONAL WILDLIFE REFUGE  ,38.2924,79.08115,1.083654,17.7119,0.2339455,15.83811,-1.143649286,-0.947577342,5.632246
SWAN LAKE NATIONAL WILDLIFE REFUGE  ,78.10879,106.4304,12.89769,1.083654,20.1544,0.2339455,-0.809966991,-0.984216571,7.864173
SWAN RIVER NATIONAL WILDLIFE REFUGE  ,122.8087,159.7236,52.13429,72.17533,44.20262,36.30834,-0.000818867,0.188770295,7.825888
SWANQUARTER NATIONAL WILDLIFE REFUGE  ,42.86269,78.33321,47.88684,21.38153,33.95719,43.45537,-0.033868894,-0.395526873,9.812264
TALLAHATCHIE NATIONAL WILDLIFE REFUGE  ,40.89104,71.91767,66.06839,37.35384,16.69201,27.82782,0.369435614,-0.154771601,9.241088
TAMARAC NATIONAL WILDLIFE REFUGE  ,110.7479,139.0424,1.083654,12.29157,0.2339455,18.96619,-0.787023968,-0.580113412,9.640469
TARGET ROCK NATIONAL WILDLIFE REFUGE  ,87.81834,120.4232,3.742247,1.083654,5.591297,0.2339455,-1.012265448,-0.947088681,8.984511
TEN THOUSAND ISLANDS NATIONAL WILDLIFE REFUGE  ,13.40507,27.6948,64.01717,53.56752,23.92093,35.46614,0.036991721,0.044124173,3.438032
TENNESSEE NATIONAL WILDLIFE REFUGE  ,55.2551,88.35576,43.40972,7.25688,28.86887,10.62314,-0.166770212,-0.481993337,10.08523
TENSAS RIVER NATIONAL WILDLIFE REFUGE  ,34.29257,63.47362,67.84247,56.47478,17.19499,24.35373,0.422772144,0.174306951,8.1349
TETLIN NATIONAL WILDLIFE REFUGE  ,136.157,164.6682,6.868732,1.407279,3.057391,0.8664788,-0.834594112,-1.125891297,5.446876
TEWAUKON NATIONAL WILDLIFE REFUGE  ,107.7817,134.9857,1.8005,11.84347,2.254933,14.70926,-0.658049474,-0.531274259,9.132264
TEXAS POINT NATIONAL WILDLIFE REFUGE  ,19.98931,42.01389,20.15352,45.90572,36.53323,23.63503,-0.244396077,-0.083591302,4.632212
THACHER ISLAND NATIONAL WILDLIFE REFUGE  ,99.12407,132.1981,3.349026,1.083654,6.691721,0.2339455,-1.000269643,-0.938618046,8.465326
THEODORE ROOSEVELT NATIONAL WILDLIFE REFUGE  ,38.49051,68.82263,67.11724,49.12314,17.42894,19.46426,0.411326207,-0.007003442,8.917097
TIJUANA SLOUGH NATIONAL WILDLIFE REFUGE  ,21.46879,42.40025,1.407279,1.442077,0.8664788,1.179664,-0.533658314,-0.889656649,3.059727
TISHOMINGO NATIONAL WILDLIFE REFUGE  ,44.18062,75.19353,41.60209,6.898457,29.30167,9.547869,-0.135702115,-0.654614115,8.624277
TOGIAK NATIONAL WILDLIFE REFUGE  ,143.692,178.1209,5.10303,12.03834,4.003109,14.13031,-0.718543099,-0.658405538,6.532008
TOPPENISH NATIONAL WILDLIFE REFUGE  ,88.75987,126.457,23.68899,65.10539,22.23086,35.25068,-0.442815114,0.150010487,9.604866
TREMPEALEAU NATIONAL WILDLIFE REFUGE  ,101.7389,129.5032,1.083654,1.083654,0.2339455,0.2339455,-1.141801521,-0.742351464,9.121442
TRINITY RIVER NATIONAL WILDLIFE REFUGE  ,25.48561,50.82561,38.75198,49.35914,35.11849,24.18833,-0.107764538,-0.021877881,4.985542
TRUSTOM POND NATIONAL WILDLIFE REFUGE  ,97.16667,128.2833,4.3199,1.083654,9.604343,0.2339455,-0.793912104,-0.793547613,7.535414
TUALATIN RIVER NATIONAL WILDLIFE REFUGE  ,61.31951,111.5291,10.46466,22.37345,12.51457,25.78079,-1.512488613,-0.730274112,11.76447
TULE LAKE NATIONAL WILDLIFE REFUGE  ,98.68431,141.3341,36.09523,90.48261,62.94303,25.53515,-0.255260191,0.536025736,11.43607
TURNBULL NATIONAL WILDLIFE REFUGE  ,95.56399,132.3057,19.28478,57.94121,20.59852,23.03407,-0.566070448,0.042830987,9.798587
TWO PONDS NATIONAL WILDLIFE REFUGE  ,113.8299,151.3662,2.806172,5.175939,3.096256,6.322062,-0.813011606,-0.595558767,8.897166
TWO RIVERS NATIONAL WILDLIFE REFUGE  ,75.71137,104.4887,8.875003,1.083654,12.38741,0.2339455,-0.720099835,-0.934486811,7.860626
TYBEE NATIONAL WILDLIFE REFUGE  ,30.20178,57.96003,66.82842,63.80838,15.48719,29.74617,0.302740382,0.207446775,5.421542
UL BEND NATIONAL WILDLIFE REFUGE  ,99.48606,134.7744,10.89268,29.64173,15.74038,21.71266,-1.078820147,-0.242226256,10.16219
UMATILLA NATIONAL WILDLIFE REFUGE  ,80.64596,120.4196,19.25837,47.90311,16.1679,53.50333,-0.752759658,-0.025221632,8.601708
UMBAGOG NATIONAL WILDLIFE REFUGE  ,116.2081,145.8788,1.48526,4.64147,1.438765,6.192512,-0.858068372,-0.528382182,6.488812
UNION SLOUGH NATIONAL WILDLIFE REFUGE  ,99.91701,126.6021,1.407279,1.083654,0.8664788,0.2339455,-0.973221624,-0.8134147,9.008645
UPPER KLAMATH NATIONAL WILDLIFE REFUGE  ,101.0344,144.662,38.5346,90.48261,64.88478,25.53515,-0.162045745,0.516164304,11.88266
UPPER MISSISSIPPI RIVER NATIONAL WILDLIFE AND FISH REFUGE  ,98.5511,125.682,1.407279,1.083654,0.8664788,0.2339455,-1.055082161,-0.809371791,8.640822
UPPER OUACHITA NATIONAL WILDLIFE REFUGE  ,36.60156,66.55946,68.12291,52.22653,19.37069,22.87987,0.384456487,0.060574905,8.352007
UPPER SOURIS NATIONAL WILDLIFE REFUGE  ,112.0913,141.4648,4.30946,16.03051,9.781814,12.81254,-0.714844008,-0.464219846,8.750185
VALENTINE NATIONAL WILDLIFE REFUGE  ,91.0889,125.9577,2.84097,3.951037,4.171525,8.706546,-1.285264446,-0.653687143,8.845628
VALLE DE ORO NATIONAL WILDLIFE REFUGE  ,74.75038,111.6996,8.822177,2.054528,13.86127,2.808226,-0.990224737,-0.915677319,8.599917
VIEQUES NATIONAL WILDLIFE REFUGE  ,6.72963,16.77592,9.1806,8.174927,13.86127,11.91952,-0.147979154,-0.246963579,0.5716105
WACCAMAW NATIONAL WILDLIFE REFUGE  ,32.75197,61.93372,62.60658,43.16231,13.27641,45.77144,0.216512692,-0.047050156,6.606129
WALLKILL RIVER NATIONAL WILDLIFE REFUGE  ,95.33036,124.3157,4.52869,1.083654,6.322062,0.2339455,-0.91397189,-0.801925193,6.839821
WALLOPS ISLAND NATIONAL WILDLIFE REFUGE  ,57.24376,96.46693,23.36315,8.631415,38.16821,19.18353,-0.388383043,-0.584615951,11.7359
WAPACK NATIONAL WILDLIFE REFUGE  ,104.7367,133.0859,1.407279,1.083654,0.8664788,0.2339455,-0.788312512,-0.713681998,7.351132
WAPANOCCA NATIONAL WILDLIFE REFUGE  ,51.3457,84.17211,45.47896,9.014196,21.13698,14.92421,-0.115953071,-0.457086346,10.94205
WAPATO LAKE NATIONAL WILDLIFE REFUGE  ,55.92641,108.4838,7.710055,19.64526,4.889461,21.8973,-1.72410304,-0.953572096,11.47367
WAR HORSE NATIONAL WILDLIFE REFUGE  ,98.89403,135.6714,11.29428,33.01717,14.53556,26.01373,-1.081335637,-0.212200575,10.25772
WASHITA NATIONAL WILDLIFE REFUGE  ,53.08746,86.15353,13.94655,3.592615,20.89133,7.631277,-0.46950014,-0.840543637,9.681669
WASSAW NATIONAL WILDLIFE REFUGE  ,29.50459,57.28886,65.42114,66.85688,14.75026,24.69295,0.25719281,0.247700428,5.249878
WATERCRESS DARTER NATIONAL WILDLIFE REFUGE  ,41.00857,72.50283,65.06271,34.37162,14.75026,21.0317,0.356616382,-0.198053268,9.242756
WAUBAY NATIONAL WILDLIFE REFUGE  ,107.0182,134.2226,2.517346,10.35821,4.40547,15.61083,-0.655792021,-0.562683746,9.565449
WERTHEIM NATIONAL WILDLIFE REFUGE  ,87.86856,121.983,5.36037,1.083654,10.44567,0.2339455,-0.970685514,-0.926077297,9.666737
WEST SISTER ISLAND NATIONAL WILDLIFE REFUGE  ,92.47282,122.4011,2.806172,1.083654,3.096256,0.2339455,-0.881760677,-0.900524302,7.819472
WHEELER NATIONAL WILDLIFE REFUGE  ,46.76305,80.45774,46.39194,18.08202,35.66499,25.51176,-0.118710987,-0.478324054,10.86245
WHITE LAKE NATIONAL WILDLIFE REFUGE  ,105.6769,138.0728,8.872949,21.37079,16.9452,13.36961,-0.855030804,-0.32987631,8.778111
WHITTLESEY CREEK NATIONAL WILDLIFE REFUGE  ,110.6229,141.883,1.083654,7.650101,0.2339455,12.77368,-1.112394153,-0.659948285,10.80067
WICHITA MOUNTAINS WILDLIFE REFUGE  ,46.07852,78.109,25.69401,4.95671,23.13721,9.547869,-0.302028086,-0.710677234,8.860537
WILLAPA NATIONAL WILDLIFE REFUGE  ,42.54754,94.98331,5.577546,16.22664,5.117243,17.27687,-1.588793653,-1.637730824,8.403374
WILLIAM L. FINLEY NATIONAL WILDLIFE REFUGE  ,50.17242,102.0925,4.459093,19.64526,5.591297,21.8973,-1.635859298,-0.926809553,10.35625
WILLOW LAKE NATIONAL WILDLIFE REFUGE  ,113.4852,142.3707,2.517346,15.30528,4.40547,14.01736,-0.735472427,-0.488124409,8.748879
WOLF ISLAND NATIONAL WILDLIFE REFUGE  ,27.96667,55.62222,60.11234,67.94054,6.117549,24.459,0.186796581,0.308475677,4.899456
YAZOO NATIONAL WILDLIFE REFUGE  ,38.49678,68.84095,67.11724,48.76472,17.42894,19.46426,0.405339088,-0.002353129,8.915198
YUKON DELTA NATIONAL WILDLIFE REFUGE  ,145.2336,176.2422,6.039106,8.680929,6.587326,7.802082,-0.627306639,-0.766312603,6.258874
YUKON FLATS NATIONAL WILDLIFE REFUGE  ,133.444,156.263,1.083654,1.083654,0.2339455,0.2339455,-0.694890999,-0.855834375,5.523323
