,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
ROANOKE RIVER NATIONAL WILDLIFE REFUGE  ,48.64813,46.18893,45.97009,83.20225,81.98532,81.93314,61.16505,35.48387,21.68675,40.7767,11.82796,1.204819
ROCK LAKE NATIONAL WILDLIFE REFUGE  ,111.7568,115.7313,115.1552,142.2793,143.2515,142.4632,0.9708738,8.602151,1.204819,13.59223,24.73118,10.84337
ROCKY FLATS NATIONAL WILDLIFE REFUGE  ,116.4481,117.2567,118.0536,153.9597,154.3659,154.6529,4.854369,6.451613,1.204819,7.76699,8.602151,1.204819
ROCKY MOUNTAIN ARSENAL NATIONAL WILDLIFE REFUGE  ,99.20156,99.83926,101.215,138.7184,139.6094,139.4392,1.941748,1.075269,1.204819,8.737864,7.526882,1.204819
RUBY LAKE NATIONAL WILDLIFE REFUGE  ,105.9952,104.0781,104.2878,144.1506,143.8115,142.6564,24.27184,11.82796,2.409639,52.42718,47.31183,12.04819
RYDELL NATIONAL WILDLIFE REFUGE  ,108.6839,112.7496,112.4228,138.7533,140.0558,139.2056,0.9708738,1.075269,1.204819,12.62136,23.65591,6.024096
SABINE NATIONAL WILDLIFE REFUGE  ,22.2377,21.91273,23.4423,46.59353,45.35396,46.31221,35.92233,15.05376,45.78313,62.13592,41.93548,42.16867
SACHUEST POINT NATIONAL WILDLIFE REFUGE  ,96.94217,96.40747,97.02682,127.6705,128.2745,129.4256,9.708738,1.075269,1.204819,0.9708738,1.075269,1.204819
SACRAMENTO NATIONAL WILDLIFE REFUGE  ,40.42795,42.21391,43.16877,86.67874,85.81004,84.96579,0.9708738,1.075269,1.204819,28.15534,20.43011,8.433735
SACRAMENTO RIVER NATIONAL WILDLIFE REFUGE  ,45.84107,47.61736,48.36349,93.77728,92.63056,91.39491,0.9708738,1.075269,1.204819,30.09709,21.50538,8.433735
SADDLE MOUNTAIN NATIONAL WILDLIFE REFUGE  ,77.81254,79.32029,77.70212,115.6255,115.8731,113.6169,14.56311,26.88172,8.433735,44.66019,39.78495,9.638554
SALINAS RIVER NATIONAL WILDLIFE REFUGE  ,29.69672,30.14473,30.3536,63.17532,63.43845,63.02572,0.9708738,1.075269,1.204819,20.38835,19.35484,8.433735
SALT PLAINS NATIONAL WILDLIFE REFUGE  ,59.7663,59.06759,58.13325,89.07712,91.82098,91.95244,34.95146,19.35484,1.204819,0.9708738,7.526882,1.204819
SAM D. HAMILTON NOXUBEE NATIONAL WILDLIFE REFUGE  ,40.30403,38.91921,39.37898,71.67111,70.64243,70.68147,70.87379,59.13978,59.03614,47.57282,43.01075,25.3012
SAN ANDRES NATIONAL WILDLIFE REFUGE  ,40.47703,40.19916,41.70939,75.78994,75.5375,76.882,10.67961,1.075269,2.409639,9.708738,1.075269,3.614458
SAN BERNARD NATIONAL WILDLIFE REFUGE  ,21.70455,20.98696,22.44231,43.90254,42.77042,43.82468,40.7767,3.225806,44.57831,54.36893,32.25806,38.55422
SAN BERNARDINO NATIONAL WILDLIFE REFUGE  ,35.70247,35.17275,36.45027,71.79001,71.18539,72.41586,10.67961,1.075269,4.819277,9.708738,1.075269,4.819277
SAN DIEGO BAY NATIONAL WILDLIFE REFUGE  ,21.15005,21.61976,22.04673,41.98239,42.76635,43.2825,0.9708738,1.075269,1.204819,0.9708738,2.150538,1.204819
SAN DIEGO NATIONAL WILDLIFE REFUGE  ,23.45789,23.92672,24.29305,46.60684,47.27633,47.70845,0.9708738,1.075269,1.204819,1.941748,2.150538,2.409639
SAN JOAQUIN RIVER NATIONAL WILDLIFE REFUGE  ,32.13873,32.45644,33.07844,67.17825,67.17825,66.62839,3.883495,1.075269,1.204819,21.35922,20.43011,8.433735
SAN JUAN ISLANDS NATIONAL WILDLIFE REFUGE  ,51.0644,52.78987,53.15384,113.922,114.0566,111.7363,1.941748,4.301075,2.409639,22.3301,22.58065,7.228916
SAN LUIS NATIONAL WILDLIFE REFUGE  ,32.49802,32.86825,33.84796,68.94372,68.92646,68.34535,3.883495,1.075269,1.204819,19.41748,20.43011,8.433735
SAN PABLO BAY NATIONAL WILDLIFE REFUGE  ,31.06573,31.37041,31.72298,64.53656,64.8609,64.32211,1.941748,1.075269,1.204819,18.4466,19.35484,8.433735
SAND LAKE NATIONAL WILDLIFE REFUGE  ,103.8678,106.8443,106.5068,132.1165,134.2788,133.8277,1.941748,5.376344,1.204819,5.825243,20.43011,7.228916
SANDY POINT NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
SANTA ANA NATIONAL WILDLIFE REFUGE  ,16.95611,16.64817,18.38824,35.47626,34.55791,36.31947,14.56311,2.150538,6.024096,27.18447,2.150538,16.86747
SANTEE NATIONAL WILDLIFE REFUGE  ,37.98275,36.3911,36.3515,68.43115,65.979,65.6083,76.69903,65.5914,59.03614,71.84466,46.23656,26.50602
SAUTA CAVE NATIONAL WILDLIFE REFUGE  ,48.8055,46.48343,46.30727,81.3002,81.42658,81.17407,66.01942,37.63441,27.71084,27.18447,21.50538,2.409639
SAVANNAH NATIONAL WILDLIFE REFUGE  ,32.16216,31.00255,30.95521,61.34703,58.69656,58.24622,77.6699,66.66667,60.24096,79.61165,53.76344,51.80723
SEAL BEACH NATIONAL WILDLIFE REFUGE  ,21.7732,21.94272,22.34919,42.18991,43.09155,43.78932,4.854369,2.150538,1.204819,0.9708738,2.150538,1.204819
SEAL ISLAND NATIONAL WILDLIFE REFUGE  ,109.4194,110.0371,111.1047,141.3808,142.3089,142.7105,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
SEATUCK NATIONAL WILDLIFE REFUGE  ,82.96792,82.94093,82.7732,117.3759,118.0765,119.0939,10.67961,5.376344,1.204819,0.9708738,1.075269,1.204819
SEEDSKADEE NATIONAL WILDLIFE REFUGE  ,117.149,118.464,117.4468,153.7352,153.9471,152.7531,15.53398,43.01075,7.228916,70.87379,79.56989,65.06024
SELAWIK NATIONAL WILDLIFE REFUGE  ,143.3157,143.683,144.5967,167.6933,168.7948,169.6818,5.825243,1.075269,3.614458,1.941748,1.075269,1.204819
SENEY NATIONAL WILDLIFE REFUGE  ,114.0755,117.6408,118.1333,148.6547,149.3191,148.877,0.9708738,1.075269,1.204819,13.59223,21.50538,6.024096
SEQUOYAH NATIONAL WILDLIFE REFUGE  ,50.02925,50.31014,49.84985,80.79623,82.63916,82.26761,33.00971,38.70968,10.84337,0.9708738,10.75269,1.204819
SEVILLETA NATIONAL WILDLIFE REFUGE  ,70.36786,68.94202,70.11372,106.3723,106.758,107.802,13.59223,5.376344,4.819277,3.883495,1.075269,1.204819
SHAWANGUNK GRASSLANDS NATIONAL WILDLIFE REFUGE  ,96.3035,97.17189,96.72804,124.299,125.7194,126.2499,4.854369,9.677419,1.204819,0.9708738,1.075269,1.204819
SHELDON NATIONAL WILDLIFE REFUGE  ,104.285,101.0108,99.65024,142.1804,141.0713,139.2019,86.40777,25.80645,12.04819,98.05825,100,72.28916
SHELL KEYS NATIONAL WILDLIFE REFUGE  ,19.50474,19.56426,21.13411,42.27382,41.48092,42.6468,20.38835,16.12903,44.57831,63.1068,46.23656,50.60241
SHELL LAKE NATIONAL WILDLIFE REFUGE  ,109.2308,113.4662,112.5377,141.3344,142.3732,141.4603,0.9708738,10.75269,1.204819,14.56311,24.73118,9.638554
SHERBURNE NATIONAL WILDLIFE REFUGE  ,102.9711,106.2209,106.9879,132.0448,134.2303,133.8647,0.9708738,1.075269,1.204819,0.9708738,9.677419,1.204819
SHIAWASSEE NATIONAL WILDLIFE REFUGE  ,101.0286,102.6742,103.8587,130.0301,132.4537,132.7687,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
SILETZ BAY NATIONAL WILDLIFE REFUGE  ,40.08905,41.16855,41.89865,89.69969,89.73159,88.1863,4.854369,3.225806,1.204819,23.30097,20.43011,6.024096
SILVIO O. CONTE NATIONAL FISH AND WILDLIFE REFUGE  ,106.4574,107.4828,107.8998,135.1909,136.3469,136.7973,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
SLADE NATIONAL WILDLIFE REFUGE  ,106.2712,110.5367,110.0667,137.2394,138.667,137.9645,0.9708738,3.225806,1.204819,12.62136,24.73118,13.25301
SONNY BONO SALTON SEA NATIONAL WILDLIFE REFUGE  ,25.24013,25.16469,25.51487,48.38584,48.5659,49.02221,10.67961,4.301075,4.819277,5.825243,3.225806,3.614458
SQUAW CREEK NATIONAL WILDLIFE REFUGE  ,81.76685,82.57956,81.41527,107.7635,110.4726,110.7603,13.59223,17.2043,1.204819,0.9708738,3.225806,1.204819
ST. CATHERINE CREEK NATIONAL WILDLIFE REFUGE  ,31.43333,29.98333,31.02222,60.06667,57.71667,57.96667,76.69903,62.36559,66.26506,72.81553,63.44086,56.62651
ST. JOHNS NATIONAL WILDLIFE REFUGE  ,16.29283,15.61918,15.89268,32.82691,31.87442,32.31747,58.25243,29.03226,42.16867,57.28155,30.10753,33.73494
ST. MARKS NATIONAL WILDLIFE REFUGE  ,25.1485,24.65797,24.80097,50.39689,48.52875,48.45363,70.87379,58.06452,55.42169,77.6699,62.36559,54.21687
ST. VINCENT NATIONAL WILDLIFE REFUGE  ,18.43466,18.60177,19.464,38.99154,38.69088,39.6074,17.47573,12.90323,37.3494,41.74757,31.1828,42.16867
STEIGERWALD LAKE NATIONAL WILDLIFE REFUGE  ,66.77005,67.9247,66.91155,116.4739,115.9161,113.3449,11.65049,19.35484,4.819277,40.7767,32.25806,8.433735
STEWART B. MCKINNEY NATIONAL WILDLIFE REFUGE  ,94.79559,94.61496,94.74864,124.2805,125.0839,125.8789,9.708738,1.075269,1.204819,0.9708738,1.075269,1.204819
STEWART LAKE NATIONAL WILDLIFE REFUGE  ,104.3,106.5833,105.7333,137.6,138.7,137.8667,4.854369,21.50538,2.409639,19.41748,29.03226,15.66265
STILLWATER NATIONAL WILDLIFE REFUGE  ,78.12284,76.22239,75.68875,116.8586,115.5427,114.3695,27.18447,19.35484,6.024096,32.03883,20.43011,4.819277
STONE LAKES NATIONAL WILDLIFE REFUGE  ,32.5,32.75,33.17778,67.7,67.81667,67.11111,4.854369,1.075269,1.204819,21.35922,22.58065,8.433735
STORM LAKE NATIONAL WILDLIFE REFUGE  ,106.5924,109.377,109.3025,134.7905,136.3439,135.7163,0.9708738,2.150538,1.204819,10.67961,22.58065,7.228916
STUMP LAKE NATIONAL WILDLIFE REFUGE  ,109.081,113.5663,113.0392,139.9012,141.1264,140.2581,0.9708738,1.075269,1.204819,12.62136,24.73118,7.228916
SULLYS HILL NATIONAL GAME PRESERVE  ,109.6305,114.014,113.4838,140.4102,141.5884,140.7552,0.9708738,4.301075,1.204819,12.62136,24.73118,7.228916
SUNBURST LAKE NATIONAL WILDLIFE REFUGE  ,104.1,107.4333,107.2667,135.5333,137.0167,136.3667,0.9708738,4.301075,1.204819,13.59223,25.80645,13.25301
SUNKHAZE MEADOWS NATIONAL WILDLIFE REFUGE  ,113.3511,114.1864,114.9964,143.6692,144.5117,144.5454,0.9708738,1.075269,2.409639,0.9708738,3.225806,1.204819
SUPAWNA MEADOWS NATIONAL WILDLIFE REFUGE  ,78.66667,78.8,78.8,109.7667,110.1667,111.2556,19.41748,5.376344,1.204819,0.9708738,1.075269,1.204819
SUSQUEHANNA NATIONAL WILDLIFE REFUGE  ,78.49317,78.70241,78.63373,109.3112,109.7329,110.7278,17.47573,5.376344,1.204819,0.9708738,1.075269,1.204819
SUTTER NATIONAL WILDLIFE REFUGE  ,37.33311,38.4361,39.10798,79.75604,79.17339,78.31402,0.9708738,1.075269,1.204819,24.27184,20.43011,8.433735
SWAN LAKE NATIONAL WILDLIFE REFUGE  ,78.30334,78.49701,77.52602,104.5433,107.2077,107.5402,21.35922,16.12903,1.204819,0.9708738,1.075269,1.204819
SWAN RIVER NATIONAL WILDLIFE REFUGE  ,122.8754,123.5872,121.9634,161.1921,159.6713,158.3073,54.36893,73.11828,28.91566,89.32039,74.19355,53.01205
SWANQUARTER NATIONAL WILDLIFE REFUGE  ,44.69287,42.12448,41.77073,79.77337,77.81214,77.41411,64.07767,49.46237,30.12048,44.66019,18.27957,1.204819
TALLAHATCHIE NATIONAL WILDLIFE REFUGE  ,42.38378,39.98231,40.30702,72.64525,71.51165,71.59612,75.72816,63.44086,59.03614,49.51456,40.86022,21.68675
TAMARAC NATIONAL WILDLIFE REFUGE  ,107.9873,112.1979,112.0585,138.2508,139.8402,139.0363,0.9708738,1.075269,1.204819,10.67961,22.58065,3.614458
TARGET ROCK NATIONAL WILDLIFE REFUGE  ,87.73499,87.89612,87.82391,119.5454,120.4232,121.3009,6.796117,3.225806,1.204819,0.9708738,1.075269,1.204819
TEN THOUSAND ISLANDS NATIONAL WILDLIFE REFUGE  ,13.72693,13.30797,13.1803,28.17209,27.51511,27.39721,75.72816,64.51613,51.80723,72.81553,50.53763,37.3494
TENNESSEE NATIONAL WILDLIFE REFUGE  ,56.48897,54.53865,54.73768,87.72973,88.76404,88.57352,60.19417,38.70968,31.3253,8.737864,11.82796,1.204819
TENSAS RIVER NATIONAL WILDLIFE REFUGE  ,35.7538,33.10912,34.01478,64.98623,62.6102,62.82442,78.64078,63.44086,61.44578,68.93204,55.91398,44.57831
TETLIN NATIONAL WILDLIFE REFUGE  ,135.4591,136.1793,136.8326,163.4984,164.5878,165.9183,6.796117,5.376344,8.433735,1.941748,1.075269,1.204819
TEWAUKON NATIONAL WILDLIFE REFUGE  ,105.9331,108.8315,108.5804,133.9571,135.8075,135.1926,0.9708738,3.225806,1.204819,6.796117,21.50538,7.228916
TEXAS POINT NATIONAL WILDLIFE REFUGE  ,19.4695,19.46185,21.03657,42.30166,41.2982,42.44181,17.47573,3.225806,39.75904,60.19417,36.55914,40.96386
THACHER ISLAND NATIONAL WILDLIFE REFUGE  ,99.13333,98.91667,99.32222,131.1667,131.9833,133.4444,7.76699,1.075269,1.204819,0.9708738,1.075269,1.204819
THEODORE ROOSEVELT NATIONAL WILDLIFE REFUGE  ,40.08109,37.42764,37.96281,69.78542,68.28608,68.39639,77.6699,63.44086,60.24096,59.2233,48.3871,39.75904
TIJUANA SLOUGH NATIONAL WILDLIFE REFUGE  ,21.01461,21.48029,21.91148,41.69714,42.48972,43.0139,1.941748,1.075269,1.204819,0.9708738,2.150538,1.204819
TISHOMINGO NATIONAL WILDLIFE REFUGE  ,44.67594,44.11377,43.75216,74.68503,75.57036,75.32519,53.39806,47.31183,24.09639,8.737864,10.75269,1.204819
TOGIAK NATIONAL WILDLIFE REFUGE  ,142.7978,143.249,145.0292,177.9238,177.4493,178.9895,4.854369,3.225806,7.228916,21.35922,7.526882,7.228916
TOPPENISH NATIONAL WILDLIFE REFUGE  ,88.61451,89.84597,87.81913,127.477,127.1169,124.777,22.3301,35.48387,13.25301,75.72816,77.41935,42.16867
TREMPEALEAU NATIONAL WILDLIFE REFUGE  ,99.60698,102.2947,103.315,127.8448,130.2534,130.4115,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
TRINITY RIVER NATIONAL WILDLIFE REFUGE  ,25.64157,24.68152,26.13374,51.58429,50.06093,50.83162,53.39806,18.27957,44.57831,65.04854,40.86022,42.16867
TRUSTOM POND NATIONAL WILDLIFE REFUGE  ,97.36667,96.76667,97.36667,127.5,128.1167,129.2333,10.67961,1.075269,1.204819,0.9708738,1.075269,1.204819
TUALATIN RIVER NATIONAL WILDLIFE REFUGE  ,60.72107,61.79009,61.44737,112.754,112.1737,109.6596,11.65049,16.12903,3.614458,33.00971,26.88172,7.228916
TULE LAKE NATIONAL WILDLIFE REFUGE  ,101.3843,97.95885,96.70979,143.1256,141.5185,139.3583,73.78641,23.65591,10.84337,99.02913,98.92473,73.49398
TURNBULL NATIONAL WILDLIFE REFUGE  ,95.66122,96.44517,94.58559,132.8017,132.8844,131.231,20.38835,29.03226,8.433735,59.2233,68.8172,45.78313
TWO PONDS NATIONAL WILDLIFE REFUGE  ,113.0155,113.7679,114.7064,150.9713,151.4626,151.6647,2.912621,4.301075,1.204819,6.796117,7.526882,1.204819
TWO RIVERS NATIONAL WILDLIFE REFUGE  ,75.62817,75.83319,75.67276,102.5521,105.0997,105.8143,13.59223,11.82796,1.204819,0.9708738,1.075269,1.204819
TYBEE NATIONAL WILDLIFE REFUGE  ,30.91747,29.7997,29.88816,59.81143,57.18763,56.88102,75.72816,64.51613,60.24096,81.5534,58.06452,51.80723
UL BEND NATIONAL WILDLIFE REFUGE  ,98.68359,100.3154,99.4592,134.484,135.4462,134.393,9.708738,19.35484,3.614458,31.06796,39.78495,18.07229
UMATILLA NATIONAL WILDLIFE REFUGE  ,80.91423,81.37359,79.65005,121.4711,121.1067,118.6811,22.3301,25.80645,9.638554,67.96117,61.29032,14.45783
UMBAGOG NATIONAL WILDLIFE REFUGE  ,115.0139,116.5626,117.0478,145.2013,146.27,146.165,0.9708738,1.075269,2.409639,2.912621,8.602151,2.409639
UNION SLOUGH NATIONAL WILDLIFE REFUGE  ,98.02483,100.2506,101.4756,124.1784,127.5851,128.0427,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
UPPER KLAMATH NATIONAL WILDLIFE REFUGE  ,103.4089,100.7814,98.91276,146.1824,144.9207,142.883,75.72816,29.03226,10.84337,99.02913,98.92473,73.49398
UPPER MISSISSIPPI RIVER NATIONAL WILDLIFE AND FISH REFUGE  ,96.81448,99.05664,99.78218,123.7176,126.4829,126.8456,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
UPPER OUACHITA NATIONAL WILDLIFE REFUGE  ,38.19098,35.47274,36.14097,67.83699,65.88982,65.95157,79.61165,64.51613,60.24096,65.04854,49.46237,42.16867
UPPER SOURIS NATIONAL WILDLIFE REFUGE  ,109.647,113.774,112.853,141.0947,142.0717,141.2279,0.9708738,10.75269,1.204819,13.59223,23.65591,10.84337
VALENTINE NATIONAL WILDLIFE REFUGE  ,89.8014,91.32008,92.14521,123.7658,127.0746,127.0326,1.941748,5.376344,1.204819,0.9708738,9.677419,1.204819
VALLE DE ORO NATIONAL WILDLIFE REFUGE  ,75.28409,73.97851,74.98853,111.1358,111.5744,112.3885,17.47573,5.376344,3.614458,3.883495,1.075269,1.204819
VIEQUES NATIONAL WILDLIFE REFUGE  ,6.8,6.633333,6.755556,16.8,16.68333,16.84444,17.47573,6.451613,3.614458,15.53398,5.376344,3.614458
WACCAMAW NATIONAL WILDLIFE REFUGE  ,33.14915,32.47128,32.63548,63.47388,61.27675,61.05054,69.90291,61.29032,56.62651,65.04854,45.16129,19.27711
WALLKILL RIVER NATIONAL WILDLIFE REFUGE  ,94.91741,95.75575,95.31793,123.1847,124.5805,125.1818,4.854369,7.526882,1.204819,0.9708738,1.075269,1.204819
WALLOPS ISLAND NATIONAL WILDLIFE REFUGE  ,58.59104,56.51921,56.62103,96.81254,96.16818,96.42006,46.60194,15.05376,8.433735,20.38835,4.301075,1.204819
WAPACK NATIONAL WILDLIFE REFUGE  ,103.9456,104.9463,105.3181,131.9814,133.1982,134.0781,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
WAPANOCCA NATIONAL WILDLIFE REFUGE  ,52.12994,51.16984,50.73731,83.5112,84.7511,84.25403,57.28155,43.01075,36.14458,9.708738,16.12903,1.204819
WAPATO LAKE NATIONAL WILDLIFE REFUGE  ,55.22341,56.05545,56.50037,109.7072,109.0592,106.6851,9.708738,8.602151,4.819277,29.12621,22.58065,7.228916
WAR HORSE NATIONAL WILDLIFE REFUGE  ,98.07536,99.8448,98.76194,135.5426,136.3472,135.1244,9.708738,19.35484,4.819277,36.8932,44.08602,18.07229
WASHITA NATIONAL WILDLIFE REFUGE  ,53.10296,53.43398,52.72544,84.61462,86.90525,86.94073,23.30097,16.12903,2.409639,0.9708738,8.602151,1.204819
WASSAW NATIONAL WILDLIFE REFUGE  ,29.93991,29.22721,29.34665,59.06555,56.5767,56.22432,73.78641,63.44086,59.03614,82.52427,60.21505,57.83133
WATERCRESS DARTER NATIONAL WILDLIFE REFUGE  ,42.28307,40.32077,40.42186,73.25575,72.20848,72.04427,73.78641,62.36559,59.03614,42.71845,38.70968,21.68675
WAUBAY NATIONAL WILDLIFE REFUGE  ,105.1589,108.1711,107.7246,132.9582,135.1515,134.5581,0.9708738,5.376344,1.204819,5.825243,20.43011,4.819277
WERTHEIM NATIONAL WILDLIFE REFUGE  ,88.16661,87.78089,87.65817,121.289,121.8835,122.7765,11.65049,3.225806,1.204819,0.9708738,1.075269,1.204819
WEST SISTER ISLAND NATIONAL WILDLIFE REFUGE  ,91.40176,93.22591,92.79078,120.5298,122.9917,123.6817,2.912621,4.301075,1.204819,0.9708738,1.075269,1.204819
WHEELER NATIONAL WILDLIFE REFUGE  ,48.35109,46.07246,45.8656,80.57233,80.50984,80.29106,66.99029,40.86022,31.3253,29.12621,21.50538,3.614458
WHITE LAKE NATIONAL WILDLIFE REFUGE  ,104.3496,106.7475,105.9336,137.6372,138.7062,137.8749,4.854369,19.35484,2.409639,19.41748,29.03226,15.66265
WHITTLESEY CREEK NATIONAL WILDLIFE REFUGE  ,107.8053,111.6704,112.3931,141.2806,142.4569,141.9114,0.9708738,1.075269,1.204819,7.76699,13.97849,1.204819
WICHITA MOUNTAINS WILDLIFE REFUGE  ,45.94823,46.31814,45.96918,77.22713,78.68567,78.41419,33.98058,32.25806,10.84337,2.912621,10.75269,1.204819
WILLAPA NATIONAL WILDLIFE REFUGE  ,41.62815,42.75445,43.26001,95.56968,95.6375,93.74275,6.796117,7.526882,2.409639,23.30097,19.35484,6.024096
WILLIAM L. FINLEY NATIONAL WILDLIFE REFUGE  ,49.33569,50.28864,50.89292,103.3742,102.5834,100.3199,6.796117,5.376344,1.204819,29.12621,22.58065,7.228916
WILLOW LAKE NATIONAL WILDLIFE REFUGE  ,110.8552,115.0637,114.5366,141.9197,142.9337,142.2586,0.9708738,5.376344,1.204819,12.62136,23.65591,9.638554
WOLF ISLAND NATIONAL WILDLIFE REFUGE  ,28,27.83333,28.06667,57.26667,54.96667,54.63333,63.1068,56.98925,60.24096,83.49515,61.29032,59.03614
YAZOO NATIONAL WILDLIFE REFUGE  ,40.10672,37.42062,37.96299,69.82439,68.29892,68.39953,77.6699,63.44086,60.24096,59.2233,47.31183,39.75904
YUKON DELTA NATIONAL WILDLIFE REFUGE  ,144.6852,144.8957,146.12,175.7531,176.0898,176.8836,8.737864,2.150538,7.228916,12.62136,8.602151,4.819277
YUKON FLATS NATIONAL WILDLIFE REFUGE  ,132.3783,133.3512,134.6025,155.1288,156.4059,157.2543,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819